SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,20,J,15,0,I,125,5,4,28,M,N,N,N,11000,Y,S,N,N,Y,L,D
F,24,F,12,1,In,120,5,0,0,O,N,N,N,2000,Y,Y,Y,Y,Y,R,D
M,29,S,9,0,In,120,5,1,7,W,Y,I,W, ,Y,N,N,N,N,R,W
M,21,J,12,0,In,117,5,2.5,17.5,O,Y,Y,N,30000,D,Y,N,S,N,R,D
M,21,S,16,0,In,101,5,2,14,W,N,N,N,11000,Y,Y,Y,.,N,R,W
M,18,F,25,0,In,100,5,5,35,W,N,I,N, ,Y,N,Y,N,Y,R,W
M,20,S,16,2,O,100,5,5,35,M,Y,I,Y,10000,N,S,N,S,Y,L,D
M,20,S,15,1,In,100,5,1,7,M,N,N,N,11000,Y,N,N,N,Y,R,D
F,21,S,15,2,In,100,5,1,7,W,Y,Y,N, ,D,Y,N,N,Y,R,W
F,19,S,14,0,In,100,5,6,42,M,N,Y,N, ,Y,Y,Y,S,Y,R,D
M,21,S,12,1,I,100,5,10,70,W,Y,Y,N,8000,N,S,N,N,Y,R,W
M,19,S,12,2,In,100,5,5,35,M,N,Y,N,6000,Y,N,N,N,N,R,D
M,19,F,12,0,In,100,5,2,14,W,N,N,N,22000,Y,Y,Y,S,Y,I,W
F,22,S,12,3,In,95,5,2,14,O,Y,Y,Y,12000,Y,Y,N,N,Y,R,D
M,18,F,15,0,In,80,5,6,42,Mo,N,N,N,11000,Y,S,N,O,N,R,Mo
M,18,F,15,0,In,80,5,6,42,Mo,N,N,N,11000,Y,S,N,O,N,R,Mo
M,19,So,15,0,In,80,5,3,21,M,Y,Y,N,10000,D,Y,N,S,Y,R,D
F,21,S,13,0,In,80,5,6,42,O,N,Y,N,11000,Y,N,Y,S,Y,R,D
M,21,S,16,2,O,75,5,2,14,W,Y,Y,Y,6000,D,Y,N,N,Y,I,W
M,21,S,15,0,In,74,5,4,28,M,N,N,N,12000,N,Y,N,N,Y,R,D
M,21,S,15,0,In,74,5,4,28,M,Y,N,N,12265,N,Y,N,N,Y,R,D
F,20,J,15,1,In,70,5,5,35,W,N,N,N,5000,Y,N,N,S,Y,R,W
M,19,S,12,1,In,32.55,5,2,14,M,Y,N,W,15000,N,Y,Y,S,N,R,D
F,21,S,14,3,In,30,5,6,42,M,Y,Y,N,24000,D,S,Y,N,N,R,D
M,21,S,12,0,In,12,5,1,7,W,N,N,N,10000,Y,Y,N,N,N,I,W
M,19,F,15,0,O,0,5,2,14,Mo,N,N,N,18000,N,Y,N,S,Y,R,Mo
M,23,S,15,0,In,0,5,1.75,12.25,W,N,N,N,12600,Y,Y,N,N,Y,R,W
M,22,S,15,2,In,0,5,1,7,M,N,N,N,12000,Y,Y,N,Y,Y,R,D
M,18,F,15,0,In,0,5,.25,1.75,Mo,Y,N,N,22000,N,Y,N,O,N,R,Mo
F,19,S,13,0,O,0,5,4,28,W,N,I,W,13000,D,S,Y,S,Y,R,W
M,21,J,12,0,In,0,5,3,21,N,Y,N,N,5800,D,S,Y,Y,Y,R,N
M,26,S,6,3,In,0,5,1,7,O,N,I,N,1518,N,S,Y,N,N,R,D
F,20,J,15,2,In, ,5,6,42,W,Y,N,N, ,Y,Y,Y,S,N,I,W
F,19,S,14,0,In,400,5,6,42,W,N,N,N,5000,N,S,N,N,N,R,W
M,21,J,18,1,In,150,5,7,49,W,Y,Y,Y,6000,Y,Y,Y,S,N,R,W
F,21,S,13,3,In,100,5,0,0,M,Y,Y,Y,9000,N,Y,Y,S,Y,I,D
F,26,So,17,3,In,35,5,2.5,17.5,W,N,N,N,5675,D,Y,N,S,N,R,W
M,21,J,16,3,In,700,4,5,35,M,Y,Y,N,7500,D,Y,N,S,Y,R,D
F,21,J,15,2,In,700,4,3,21,O,Y,Y,N,10400,Y,Y,N,N,Y,R,D
M,21,J,15,1,O,560,4,1,7,W,N,I,N,18000,D,S,N,N,Y,R,W
F,18,F,18,1,In,500,4,6,42,N,Y,N,Y, ,N,Y,Y,N,N,I,N
M,19,S,15,0,In,500,4,4,28,O,N,N,N,18000,Y,Y,Y,N,Y,R,D
